,city,city_date,city_id,cloudiness,country,humidity,lat,lng,max_temp,wind_speed
0,Jamestown,11-05-2017,5122534,90,US,100,42.1,-79.24,56.61,11.41
1,Bucerias,11-05-2017,4016734,20,MX,79,20.75,-105.33,86.0,10.29
2,Hilo,11-05-2017,5855927,90,US,69,19.73,-155.09,72.68,13.87
3,Bilibino,11-05-2017,2126682,92,RU,66,68.05,166.44,33.67,10.65
4,Bluff,11-05-2017,2206939,36,NZ,100,-46.6,168.33,51.22,22.84
5,Busselton,11-05-2017,2075265,0,AU,93,-33.65,115.33,65.71,22.28
6,Batemans Bay,11-05-2017,2176639,92,AU,96,-35.72,150.18,59.41,6.51
7,Barenburg,11-05-2017,2952767,0,DE,86,52.62,8.8,41.49,4.7
8,Amparihy,11-05-2017,1078317,75,MG,94,-25.02,46.97,68.0,13.87
9,Fortuna,11-05-2017,5563839,90,US,87,40.6,-124.16,51.15,5.82
10,Olinda,11-05-2017,3393536,40,BR,74,-8.01,-34.86,78.8,6.93
11,Carnarvon,11-05-2017,2074865,0,AU,88,-24.87,113.63,74.22,11.77
12,Varnek,11-05-2017,1487762,8,RU,81,69.71,60.05,34.35,21.72
13,Port Alfred,11-05-2017,964432,44,ZA,98,-33.59,26.89,63.51,16.58
14,Rikitea,11-05-2017,4030556,44,PF,100,-23.12,-134.97,74.67,12.55
15,Fare,11-05-2017,4034496,92,PF,100,-16.7,-151.02,77.82,4.72
16,Geraldton,11-05-2017,2070998,0,AU,19,-28.77,114.6,78.8,20.8
17,Tarecuato,11-05-2017,3982382,0,MX,35,19.85,-102.48,75.07,1.7
18,Hithadhoo,11-05-2017,1282256,76,MV,100,-0.6,73.08,76.74,12.44
19,Pangnirtung,11-05-2017,6096551,0,CA,100,66.15,-65.71,3.57,13.56
20,Busselton,11-05-2017,2075265,0,AU,93,-33.65,115.33,65.71,22.28
21,Taitung,11-05-2017,1668295,75,TW,83,22.76,121.14,71.6,5.82
22,Al Manaqil,11-05-2017,379149,0,SD,41,14.25,32.99,62.34,8.75
23,Saldanha,11-05-2017,3361934,0,ZA,77,-33.01,17.94,59.0,16.11
24,Victoria,11-05-2017,6174041,75,CA,41,48.43,-123.37,40.98,6.93
25,Geraldton,11-05-2017,2070998,0,AU,19,-28.77,114.6,78.8,20.8
26,Sharan,11-05-2017,495770,76,RU,100,54.82,54.0,24.81,7.63
27,Rikitea,11-05-2017,4030556,44,PF,100,-23.12,-134.97,74.67,12.55
28,Kenai,11-05-2017,5866063,90,US,100,60.55,-151.26,33.8,17.22
29,Toliara,11-05-2017,1055429,0,MG,71,-23.35,43.67,73.18,11.65
30,Pierre,11-05-2017,5767918,1,US,50,44.37,-100.35,33.8,6.93
